x y z
78.4050 53.8741 2.0000
78.3468 53.9067 2.0000
78.2888 53.9395 2.0000
78.2307 53.9723 2.0000
78.1728 54.0052 2.0000
78.1148 54.0382 2.0000
78.0569 54.0713 2.0000
77.9991 54.1044 2.0000
77.9413 54.1377 2.0000
77.8836 54.1710 2.0000
77.8259 54.2044 2.0000
77.7682 54.2379 2.0000
77.7106 54.2715 2.0000
77.6531 54.3051 2.0000
77.5956 54.3389 2.0000
77.5382 54.3727 2.0000
77.4807 54.4066 2.0000
77.4234 54.4406 2.0000
77.3661 54.4746 2.0000
77.3088 54.5088 2.0000
77.2516 54.5430 2.0000
77.1945 54.5773 2.0000
77.1374 54.6117 2.0000
77.0803 54.6462 2.0000
77.0233 54.6808 2.0000
76.9664 54.7154 2.0000
76.9094 54.7502 2.0000
76.8526 54.7850 2.0000
76.7958 54.8199 2.0000
76.7390 54.8549 2.0000
76.6823 54.8899 2.0000
76.6257 54.9251 2.0000
76.5691 54.9603 2.0000
76.5125 54.9956 2.0000
76.4560 55.0310 2.0000
76.3996 55.0665 2.0000
76.3432 55.1020 2.0000
76.2869 55.1377 2.0000
76.2306 55.1734 2.0000
76.1743 55.2092 2.0000
76.1182 55.2451 2.0000
76.0620 55.2811 2.0000
76.0060 55.3171 2.0000
75.9499 55.3533 2.0000
75.8940 55.3895 2.0000
75.8381 55.4258 2.0000
75.7822 55.4622 2.0000
75.7264 55.4986 2.0000
75.6706 55.5352 2.0000
75.6149 55.5718 2.0000
75.5593 55.6085 2.0000
75.5037 55.6453 2.0000
75.4482 55.6822 2.0000
75.3927 55.7192 2.0000
75.3372 55.7562 2.0000
75.2819 55.7933 2.0000
75.2266 55.8306 2.0000
75.1713 55.8678 2.0000
75.1161 55.9052 2.0000
75.0609 55.9427 2.0000
75.0058 55.9802 2.0000
74.9508 56.0178 2.0000
74.8958 56.0555 2.0000
74.8409 56.0933 2.0000
74.7860 56.1312 2.0000
74.7312 56.1691 2.0000
74.6765 56.2072 2.0000
74.6218 56.2453 2.0000
